customer_id,total_purchases,first_purchase_date,last_purchase_date
8b0d268963dd0cfb808aac48a549829f,100,2023-03-06T20:18:08.107+0000,2024-01-04T10:20:12.112+0000
1f50893f80d6830d62765ffad7721742,282,2022-12-25T18:07:10.613+0000,2024-01-10T23:14:57.603+0000
0ff39bbbf981ac0151d340c9aa40e63e,46,2022-12-31T12:50:11.195+0000,2024-01-01T21:24:26.427+0000
b5488aeff42889188d03c9895255cecc,161,2023-01-10T15:36:19.401+0000,2024-01-10T12:09:05.826+0000
eddb904a6db773755d2857aacadb1cb0,100,2023-02-01T15:54:59.831+0000,2024-01-07T18:16:32.559+0000
8613985ec49eb8f757ae6439e879bb2a,65,2022-12-31T11:43:32.745+0000,2024-01-04T14:31:08.031+0000
38913e1d6a7b94cb0f55994f679f5956,19,2023-02-08T20:33:34.154+0000,2024-01-11T14:52:37.494+0000
b4288d9c0ec0a1841b3b3728321e7088,55,2023-01-10T18:24:37.642+0000,2024-01-07T16:18:59.194+0000
9f6992966d4c363ea0162a056cb45fe5,39,2022-12-28T10:32:32.107+0000,2023-12-16T13:34:35.916+0000
c5ab0bc60ac7929182aadd08703f1ec6,22,2023-02-06T16:41:47.190+0000,2024-01-01T07:33:22.900+0000
4e0928de075538c593fbdabb0c5ef2c3,16,2023-02-06T16:29:38.569+0000,2024-01-10T17:53:21.398+0000
e6d8545daa42d5ced125a4bf747b3688,33,2023-01-05T10:32:38.531+0000,2024-01-10T16:28:05.126+0000
e3796ae838835da0b6f6ea37bcf8bcb7,37,2023-01-04T15:48:44.124+0000,2024-01-11T14:07:36.488+0000
82965d4ed8150294d4330ace00821d77,15,2023-03-14T15:07:54.500+0000,2024-01-08T16:01:27.610+0000
e1d5be1c7f2f456670de3d53c7b54f4a,28,2023-01-04T15:12:54.366+0000,2023-12-29T18:37:48.033+0000
5e76bef6e019b2541ff53db39f407a98,44,2023-02-02T11:50:46.706+0000,2023-12-20T15:57:06.926+0000
069654d5ce089c13f642d19f09a3d1c0,47,2023-01-01T20:55:08.401+0000,2024-01-03T21:50:12.403+0000
6f2688a5fce7d48c8d19762b88c32c3b,47,2023-01-01T12:02:29.261+0000,2023-11-30T19:28:57.879+0000
aeb3135b436aa55373822c010763dd54,39,2023-01-23T17:07:39.225+0000,2023-12-29T13:43:10.269+0000
dc912a253d1e9ba40e2c597ed2376640,51,2023-01-15T19:54:10.134+0000,2023-12-09T15:48:11.958+0000
db85e2590b6109813dafa101ceb2faeb,52,2022-12-30T20:01:20.278+0000,2024-01-09T18:49:37.177+0000
fc49306d97602c8ed1be1dfbf0835ead,70,2023-01-11T14:55:00.582+0000,2024-01-11T21:09:10.068+0000
6364d3f0f495b6ab9dcf8d3b5c6e0b01,27,2022-12-30T15:53:55.076+0000,2023-12-23T15:09:25.432+0000
288cc0ff022877bd3df94bc9360b9c5d,33,2022-12-31T16:32:51.241+0000,2023-12-14T18:33:03.351+0000
3c947bc2f7ff007b86a9428b74654de5,45,2023-01-04T20:32:08.631+0000,2024-01-09T18:35:23.769+0000
d7fd118e6f226a71b5f1ffe10efd0a78,24,2022-12-28T08:34:13.562+0000,2024-01-04T17:56:13.480+0000
ff49cc40a8890e6a60f40ff3026d2730,15,2023-02-02T19:54:20.136+0000,2024-01-03T20:33:44.348+0000
16e6a3326dd7d868cbc926602a61e4d0,43,2023-01-26T15:07:17.046+0000,2024-01-01T18:05:50.562+0000
9b698eb3105bd82528f23d0c92dedfc0,59,2023-01-28T17:20:43.722+0000,2024-01-04T18:53:34.922+0000
11f524c3fbfeeca4aa916edcb6b6392e,186,2023-01-06T16:34:42.808+0000,2024-01-04T08:44:51.486+0000
884d247c6f65a96a7da4d1105d584ddd,25,2023-01-07T08:14:52.374+0000,2024-01-07T12:15:16.420+0000
47a658229eb2368a99f1d032c8848542,89,2022-12-30T14:05:16.006+0000,2024-01-05T17:15:58.094+0000
f016e59c7ad8b1d72903bb1aa5720d53,33,2023-02-14T14:43:52.434+0000,2024-01-11T16:14:55.250+0000
a1d50185e7426cbb0acad1e6ca74b9aa,69,2023-01-08T12:07:52.030+0000,2024-01-08T17:47:13.570+0000
ab7314887865c4265e896c6e209d1cd6,60,2023-01-07T14:52:50.269+0000,2023-12-20T14:29:36.971+0000
ab88b15733f543179858600245108dd8,61,2023-01-09T18:35:36.757+0000,2024-01-07T13:18:09.229+0000
83adc9225e4deb67d7ce42d58fe5157c,101,2022-12-25T21:20:47.873+0000,2024-01-05T20:13:31.106+0000
cf67355a3333e6e143439161adc2d82e,41,2023-03-31T12:47:27.221+0000,2024-01-09T20:10:28.698+0000
7f39f8317fbdb1988ef4c628eba02591,17,2023-02-09T17:16:16.228+0000,2023-12-07T19:55:53.848+0000
51d92be1c60d1db1d2e5e7a07da55b26,28,2023-01-01T16:19:19.452+0000,2024-01-04T12:45:11.930+0000
c44799b04a1c72e3c8593a53e8000c78,43,2023-02-17T15:09:21.312+0000,2023-12-06T14:23:40.964+0000
f60bb6bb4c96d4df93c51bd69dcc15a0,21,2023-06-21T15:10:56.565+0000,2023-12-24T19:31:10.561+0000
17e62166fc8586dfa4d1bc0e1742c08b,30,2023-01-05T15:27:35.927+0000,2023-11-29T14:50:49.509+0000
cfa5301358b9fcbe7aa45b1ceea088c6,31,2023-01-06T13:01:38.656+0000,2023-12-17T14:22:43.431+0000
f9028faec74be6ec9b852b0a542e2f39,135,2022-12-27T16:52:30.988+0000,2023-12-17T21:30:24.267+0000
c058f544c737782deacefa532d9add4c,47,2023-01-31T10:06:38.995+0000,2024-01-04T15:29:34.616+0000
82f2b308c3b01637c607ce05f52a2fed,37,2022-12-29T18:21:15.293+0000,2024-01-04T17:32:26.335+0000
7e9e346dc5fd268b49bf418523af8679,60,2022-12-30T14:19:19.300+0000,2023-11-22T21:23:05.518+0000
